Transformacion de Lorentz, \(x\) se refiere a la parte paralela a la velocidad <br> \( y\) se refiere a la perpendiular <br> \( c t' = \gamma(c t - \vec{x} \cdot \vec{\beta} ) \) <br> \(x' = \gamma(x  - \beta c t ) \) <br>  \( y' = y \), relativity transformation
Ecuaciones de Cauchy-Riemman, \( \partial_y u = \partial_x v \) <br> \(\partial_x u = -\partial_y v  \), calculus complex
Valor de Expectacion Mecanica Cuantica, En notacion de Dirac y brakets normalizados: <br> \(  \braket \hat{A}  =  \bra \psi  \hat{A} \ket \psi\), quantum operator
Evolucion Temporal del Valor de Expectacion <br> Mecanica Cuantica,  \( \partial_t \braket{\hat{A}} = \frac{1}{i \hbar} \braket{[\hat{A};\hat{H}]} + \braket{\partial_t \hat{A}} \), quantum operator
Ecuacion Schrodinger con operador Hamiltoniano <br> \( \hat{H} \ket{\psi} = ..\), La ecuacion es: \( \hat{H} \ket{\psi} = i \hbar \partial_t \ket{\psi}  \), quantum evolution 
Evolucion Temporal de \( \ket{\psi} \) bajo \(\hat{H}\), Sea \(\hat{H}\ket{\phi_n} = E_n\ket{\phi_n}\) && \( \ket{\phi_n} = \ket{\phi_n(0)}\) <br>\( \ket\psi =I \ket\psi = \sum_n \ket{\phi_n} \braket{\phi_n | \psi} = \sum_n \ket{\phi_n} a_n \) <br> \(   \hat{H}\ket{\phi_n} = E_n \ket{\phi_n}  \;.=  i \hbar \partial_t\ket{\phi_n}  \) <br> \( \ket{\phi_n(t)} = \ket{\phi_n(0)} \exp{ \frac{ E_n t}{ih}} \),quantum evolution
El campo magnetico de un alambre infinito <br> Asumiendo corriente;densidad;radio \( I;\rho;a  \) , Fuera de el cable este seria  \( \vec{B} = \mu \vec{H} = \mu \frac{I}{2 \pi \rho} \hat{\phi}  \; con \; \rho \ge a \) <br> Dentro de el cable  \( \vec{H}= \frac{I \rho}{2 \pi a^2} \hat{\phi} \; con \; \rho < a \)  <br> puedes ver el desarrollo aqui <a href="https://eng.libretexts.org/Bookshelves/Electrical_Engineering/Electro-Optics/Book%3A_Electromagnetics_I_(Ellingson)/07%3A_Magnetostatics/7.05%3A_Magnetic_Field_of_an_Infinitely-Long_Straight_Current-Bearing_Wire">Infinite</a>, electricity magnetic
